time;lat;lon;60min_starnet;60min_earth;vulnerability;radarRR;1h_radar;hydroRR;1h_hydro;1h_basin_radar;2h_basin_radar;3h_basin_radar;24h_basin_radar;1h_basin_hydro;2h_basin_hydro;3h_basin_hydro;24h_basin_hydro;flood
2018-05-19 12:30:00;-23.77;-46.59;0.0;2.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.77;-46.53;0.0;0.0;2.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.76;-46.84;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;7.7;0.0
2018-05-19 12:30:00;-23.76;-46.81;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.46;0.0
2018-05-19 12:30:00;-23.76;-46.77;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.75;0.0
2018-05-19 12:30:00;-23.76;-46.76;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;2.09;0.0
2018-05-19 12:30:00;-23.76;-46.74;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.25;0.0
2018-05-19 12:30:00;-23.76;-46.71;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;6.24;0.0
2018-05-19 12:30:00;-23.76;-46.66;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;14.6;0.0
2018-05-19 12:30:00;-23.76;-46.65;0.0;0.0;3.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.21;0.0
2018-05-19 12:30:00;-23.76;-46.48;0.0;0.0;3.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.76;-46.28;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;1.16;0.0
2018-05-19 12:30:00;-23.75;-47.15;1.0;1.0;-99;-99;-99;0.0;0.0;-99;-99;-99;-99;-99;-99;-99;-99;0.0
2018-05-19 12:30:00;-23.75;-46.97;1.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;5.75;0.0
